text,spam,hate,scam,political,violence,sectarian,adult,drugs,harass,misinfo
خدمة تنظيف سيارات متنقلة، منجي لمكانك، احجز موعدك,1,0,0,0,0,0,0,0,0,0
عنا أفضل عروض التأمين عالسيارات بأسعار ما رح تلاقيها بمكان,1,0,0,0,0,0,0,0,0,0
بدك تشتري ذهب بأسعار منافسة؟ زور محلنا بسوق الحميدية,1,0,0,0,0,0,0,0,0,0
اشترك بقناتنا عالتلغرام وخود نصائح مجانية بالاستثمار,1,0,0,0,0,0,0,0,0,0
عرض ع.ا.ل.ا.ن.ت.ر.ن.ت السريع، اشترك ووفّر نص السعر,1,0,0,0,0,0,0,0,0,0
وصلتنا أحدث الموبايلات الصينية بمواصفات عالية وسعر مغري,1,0,0,0,0,0,0,0,0,0
دورة تجميل وميك أب احترافية للسيدات، الأماكن محدودة، سجلي,1,0,0,0,0,0,0,0,0,0
بدك تفتح مشروعك الخاص؟ منوفرلك دراسة جدوى مجانية، تواصل,1,0,0,0,0,0,0,0,0,0
عرض خاص عالاشتراكات السنوية للجيم، خصم 30% بس هالشهر,1,0,0,0,0,0,0,0,0,0
احصل عقرض شخصي لحد 10 مليون ليرة بإجراءات بسيطة، اتصل,1,0,0,0,0,0,0,0,0,0
عنا تشكيلة واسعة من الأثاث المنزلي بالتقسيط، زورونا,1,0,0,0,0,0,0,0,0,0
اشتري مفروشاتك العرس من عنا وخود هدية قيمة، العرض محدود,1,0,0,0,0,0,0,0,0,0
بدك تتعلم قيادة بأسرع وقت؟ مدرستنا بانتظارك، سجل هلق,1,0,0,0,0,0,0,0,0,0
عرض ا.ل.م.و.س.م عالأحذية الرياضية الأصلية خصم لحد 50%,1,0,0,0,0,0,0,0,0,0
خدمة حجز فنادق بأرخص الأسعار مضمونة، احجز رحلتك معنا,1,0,0,0,0,0,0,0,0,0
وصلنا أجهزة تنقية مياه بتقنية حديثة، صحة عيلتك تهمنا، اطلب,1,0,0,0,0,0,0,0,0,0
بدك شغل من البيت بدخل ممتاز؟ سجل عنا والباقي علينا,1,0,0,0,0,0,0,0,0,0
عرض حصري عالكاميرات الاحترافية للمصورين، خصومات كبيرة,1,0,0,0,0,0,0,0,0,0
اشترك بخدمتنا وخود استشارة مجانية بأي مجال بدك ياه,1,0,0,0,0,0,0,0,0,0
كروت شحن بأسعار الجملة لكل الشبكات، اطلب كميتك ووصلك لعندك,1,0,0,0,0,0,0,0,0,0
محل تجميل افتتح بالميدان، خصومات افتتاحية لكل الخدمات هالأسبوع,1,0,0,0,0,0,0,0,0,0
بدك تبيع بيتك أو سيارتك بسرعة؟ منأمنلك المشتري، تواصل فينا,1,0,0,0,0,0,0,0,0,0
عروض رمضان وصلت بكير هالسنة، تسوق وادفع بالتقسيط بدون فوائد,1,0,0,0,0,0,0,0,0,0
دروس خصوصية بكل المواد لطلاب البكالوريا، أساتذة خبرة، احجز,1,0,0,0,0,0,0,0,0,0
وصلتنا أحدث الكنبايات التركي بتصاميم فخمة، زورو المعرض بالشعلان,1,0,0,0,0,0,0,0,0,0
بدك تنحف لرمضان؟ منتجنا الطبيعي بينزل وزنك بأمان، اطلب هلق,1,0,0,0,0,0,0,0,0,0
اشترك بصالة الألعاب الجديدة وخود حصص تدريب شخصي مجانية أول شهر,1,0,0,0,0,0,0,0,0,0
عرض ع.ا.ل.ا.ج.ه.ز.ة الكهربائية خصومات لحد 45% ما يفوتك,1,0,0,0,0,0,0,0,0,0
خدمة نقل عفش بعمال محترفين وأسعار منافسة، اتصل واحجز موعدك,1,0,0,0,0,0,0,0,0,0
كروت انترنت بأسعار حرق لكل الباقات، توصيل فوري لكل المناطق,1,0,0,0,0,0,0,0,0,0
وصلنا تشكيلة شتوية كاملة من الجواكيت والبوط، خصومات تفتح النفس,1,0,0,0,0,0,0,0,0,0
بدك تتعلم تصليح موبايلات وتفتح مشروعك؟ كورس عملي شامل، سجل,1,0,0,0,0,0,0,0,0,0
عرض خاص عقطع غيار السيارات الأصلية، توفر كل الموديلات، تواصل,1,0,0,0,0,0,0,0,0,0
صيدلية أونلاين توصل أدويتك لباب البيت خلال ساعة، حمّل التطبيق,1,0,0,0,0,0,0,0,0,0
اشترك بقناة الطبخ المدفوعة وتعلم أسرار المطبخ الشامي، أول حصة مجانية,1,0,0,0,0,0,0,0,0,0
ع.ر.و.ض ع.ل.ى الموبايلات المستعملة بحالة ممتازة وضمان، تواصل,1,0,0,0,0,0,0,0,0,0
بدك دخل إضافي؟ كن وكيل توزيع لمنتجاتنا واربح عمولة مجزية، سجل,1,0,0,0,0,0,0,0,0,0
وصلتنا أجهزة العناية بالبشرة الكورية الأصلية، اطلبي وخصمك جاهز,1,0,0,0,0,0,0,0,0,0
محل ورد جديد بالمالكي، باقات لكل المناسبات وتوصيل مجاني، زورونا,1,0,0,0,0,0,0,0,0,0
عرض الشتا عالمدافئ والصوبيات، وفّر بفاتورة الكهربا، اطلب هلق,1,0,0,0,0,0,0,0,0,0
خدمة تصميم وطباعة كروت وبروشورات لمشروعك، أسعار منافسة، تواصل,1,0,0,0,0,0,0,0,0,0
وصلنا شحنة سجاد عجمي أصلي بأسعار ما رح تتكرر، زورو المعرض,1,0,0,0,0,0,0,0,0,0
بدك رحلة عمرة بأفضل الأسعار؟ باقات متنوعة وخدمة ممتازة، احجز,1,0,0,0,0,0,0,0,0,0
ع.ر.ض خاص عالساعات الذكية بكل الماركات خصومات هائلة، اطلب,1,0,0,0,0,0,0,0,0,0
دورة تصوير فوتوغرافي احترافية من الصفر، شهادة معتمدة، سجل هلق,1,0,0,0,0,0,0,0,0,0
اشترك بخدمة التوصيل السريع وخود أول 5 طلبات بدون رسوم توصيل,1,0,0,0,0,0,0,0,0,0
بدك تجدد مطبخك؟ منوفرلك تصاميم عصرية بأسعار التكلفة، تواصل,1,0,0,0,0,0,0,0,0,0
عرض حصري عالعطور النسائية والرجالية الأصلية، خصم لحد 40%,1,0,0,0,0,0,0,0,0,0
تعلم اللغة التركية بطريقة سهلة وممتعة، كورس أونلاين، أول حصة مجانية,1,0,0,0,0,0,0,0,0,0
وصلتنا براداتنا الجديدة بتقنية توفير الطاقة، ضمان 10 سنين، اطلب,1,0,0,0,0,0,0,0,0,0
خدمة صيانة مكيفات وتنظيف فلاتر قبل الصيف، احجز موعدك بأسعار مغرية,1,0,0,0,0,0,0,0,0,0
بدك تشتري لابتوب للدراسة بسعر مناسب؟ عنا أفضل العروض، تواصل,1,0,0,0,0,0,0,0,0,0
محل ألبسة أطفال جديد بالعزيزية، تشكيلة واسعة وأسعار اقتصادية، زورونا,1,0,0,0,0,0,0,0,0,0
اشترك بمنصتنا التعليمية وادرس كل المواد بشرح مبسط، أول أسبوع مجاني,1,0,0,0,0,0,0,0,0,0
ع.ر.و.ض ع.الذهب والمجوهرات بمناسبة الافتتاح خصومات كبيرة زورونا,1,0,0,0,0,0,0,0,0,0
بدك تأمن صحي لعيلتك بسعر مناسب؟ باقات متنوعة تغطي كل شي، تواصل,1,0,0,0,0,0,0,0,0,0
وصلتنا دراجات هوائية وكهربائية بكل الأحجام، أسعار منافسة، اطلب,1,0,0,0,0,0,0,0,0,0
خدمة تنسيق حدائق وزراعة، نحول حديقتك لجنة بأسعار معقولة، تواصل,1,0,0,0,0,0,0,0,0,0
عرض خاص عاشتراكات النت الشهرية، سرعة عالية وسعر مخفض، اشترك,1,0,0,0,0,0,0,0,0,0
دورة محاسبة عملية للمبتدئين تأهلك لسوق العمل بسرعة، سجل هلق,1,0,0,0,0,0,0,0,0,0
بدك تبيع منتجاتك أونلاين؟ منعملك متجر الكتروني احترافي بسعر رمزي,1,0,0,0,0,0,0,0,0,0
وصلنا أحدث ألعاب الأطفال التعليمية المستوردة، هدية مثالية، اطلب,1,0,0,0,0,0,0,0,0,0
ع.ر.ض ع.ا.ل.م.ف.ر.و.ش.ا.ت الكاملة لغرف النوم بأسعار التكلفة,1,0,0,0,0,0,0,0,0,0
خدمة غسيل سيارات بالبخار توفر المويه وتنظف أعمق، احجز دورك,1,0,0,0,0,0,0,0,0,0
اشترك بنادي القراءة الشهري وخود كتاب جديد كل شهر لباب بيتك,1,0,0,0,0,0,0,0,0,0
بدك تجهيزات مطعمك أو كافيتيريا؟ عنا كل المعدات بأسعار الجملة,1,0,0,0,0,0,0,0,0,0
عرض حصري عالنظارات الطبية والشمسية الأصلية، خصم 30% هالشهر,1,0,0,0,0,0,0,0,0,0
تعلم مونتاج الفيديو والتصميم وافتح باب رزق جديد، كورس شامل، سجل,1,0,0,0,0,0,0,0,0,0
وصلتنا خلاطات ومعدات مطبخ كهربائية بضمان سنتين، أسعار مغرية، اطلب,1,0,0,0,0,0,0,0,0,0
عرض اليوم فقط: خصم 80% على كل الأجهزة الكهربائية، اطلب هلق قبل نفاذ الكمية,1,0,0,0,0,0,0,0,0,0
اشترك بباقتنا الشهرية وخود جيم مجاني + مسبح لمدة شهر كامل,1,0,0,0,0,0,0,0,0,0
توصيل مجاني لكل طلباتك من المطعم لحد ما تجي، حمل التطبيق هلق,1,0,0,0,0,0,0,0,0,0
افتتاح فرع جديد بدمشق، أول 100 زبون بياخدوا هدية مجانية,1,0,0,0,0,0,0,0,0,0
تعلم برمجة المواقع بـ3 أشهر وضمان توظيف، اشترك هلق والمقاعد محدودة,1,0,0,0,0,0,0,0,0,0
عرض رمضان: اشتري تلفزيون وخود ثلاجة مجاناً، العرض لنهاية الشهر,1,0,0,0,0,0,0,0,0,0
بدك تأجر سيارة بأرخص سعر؟ أسطولنا متوفر 24 ساعة، اتصل هلق,1,0,0,0,0,0,0,0,0,0
دورة مكياج احترافية للسيدات، شهادة معتمدة وسعر رمزي، احجزي مكانك,1,0,0,0,0,0,0,0,0,0
وصلتنا أحدث ساعات رولكس وأوميغا بنسخ ممتازة، زور المحل,1,0,0,0,0,0,0,0,0,0
خدمة تنظيف منازل شاملة بأسعار تبدأ من 20 ألف ليرة فقط، اتصل,1,0,0,0,0,0,0,0,0,0
عرض خاص عالاشتراك السنوي: وفر 40% وخود شهرين مجاناً,1,0,0,0,0,0,0,0,0,0
بيت أحلامك بالتقسيط المريح، شقق فاخرة بمنطقة المزة، تواصل,1,0,0,0,0,0,0,0,0,0
أفضل أسعار ذهب عيار 21 بالسوق، اشتري الآن والسعر ضامن,1,0,0,0,0,0,0,0,0,0
خدمة طلب أدوية لباب البيت، توصيل خلال ساعة، حمل التطبيق,1,0,0,0,0,0,0,0,0,0
دورة لغة انكليزية مكثفة 3 أشهر، مستوى من صفر لاحتراف، سجل,1,0,0,0,0,0,0,0,0,0
وصلنا أجود أنواع الكاشيرة والعباءات لموسم الشتاء، زوري المحل,1,0,0,0,0,0,0,0,0,0
عرض عالانترنت الفايبر: سرعة 100 ميغا بنص السعر لأول 3 أشهر,1,0,0,0,0,0,0,0,0,0
مطعمنا الجديد بحلب يستقبل حجوزاتكم، أطباق شامية أصيلة,1,0,0,0,0,0,0,0,0,0
خصومات هائلة عالعطور الفرنسية الأصلية، لمدة أسبوع فقط,1,0,0,0,0,0,0,0,0,0
بدك تفتح مشروعك؟ منوفرلك تصميم شعار + موقع إلكتروني بسعر خاص,1,0,0,0,0,0,0,0,0,0
نادينا الصحي يستقبل أعضاء جدد، اشترك هالشهر وخود شهر مجاني,1,0,0,0,0,0,0,0,0,0
أفضل أسعار تذاكر طيران لإسطنبول ودبي، احجز هلق قبل ارتفاع الأسعار,1,0,0,0,0,0,0,0,0,0
خدمة صيانة مكيفات وثلاجات، نجي لعندك بنفس اليوم، اتصل,1,0,0,0,0,0,0,0,0,0
تشكيلة واسعة من الكنب والأثاث، تقسيط بدون فوائد لـ24 شهر,1,0,0,0,0,0,0,0,0,0
دورة تصوير احترافي مع معدات، شهادة معتمدة، الأماكن محدودة,1,0,0,0,0,0,0,0,0,0
وصلتنا أحدث موديلات السيارات الكهربائية، تفضل للمعرض,1,0,0,0,0,0,0,0,0,0
خدمة تصميم داخلي مجاني عند شراء أثاث بأكثر من مليون ليرة,1,0,0,0,0,0,0,0,0,0
عرض خاص عالكاميرات الأمنية: تركيب 4 كاميرات بسعر واحدة,1,0,0,0,0,0,0,0,0,0
أحلى تورتات أعياد الميلاد والأفراح، اطلب وبنوصلك، اتصل,1,0,0,0,0,0,0,0,0,0
دورة إدارة أعمال أونلاين معتمدة من جامعة دولية، سجل هلق,1,0,0,0,0,0,0,0,0,0
خصم 30% على كل الأدوية المزمنة عند الاشتراك بصيدليتنا,1,0,0,0,0,0,0,0,0,0
بدك تبيع سيارتك؟ منشتري بأعلى سعر ونجي للمعاينة عندك,1,0,0,0,0,0,0,0,0,0
خدمة تحضير وتوصيل وجبات صحية يومية، برامج للتخسيس والرياضة,1,0,0,0,0,0,0,0,0,0
وصلتنا أجود أصناف القهوة والشاي من المصدر مباشرة,1,0,0,0,0,0,0,0,0,0
اشترك بتطبيقنا للتسوق وخود كاشباك 10% على كل عملية شراء,1,0,0,0,0,0,0,0,0,0
خدمة طباعة احترافية للبنرات والكروت، أسعار الجملة للجميع,1,0,0,0,0,0,0,0,0,0
دروس خصوصية بكل المواد لطلاب التاسع والبكالوريا، تواصل,1,0,0,0,0,0,0,0,0,0
نحضر لك عيادة طبيب للبيت، أطباء متخصصين بأسعار مناسبة,1,0,0,0,0,0,0,0,0,0
عرض السنة: اشتري موبايل وخود سماعة لاسلكية + كفر مجاناً,1,0,0,0,0,0,0,0,0,0
تبي تزيد مبيعاتك؟ خدمات تسويق رقمي مضمونة النتائج، تواصل,1,0,0,0,0,0,0,0,0,0
مشاتل الحدائق: نصمم لك حديقة بيتك بأجمل التصاميم وأرخص الأسعار,1,0,0,0,0,0,0,0,0,0
لوازم مدرسية وقرطاسية بأسعار الجملة، التوصيل لكل المحافظات,1,0,0,0,0,0,0,0,0,0
خدمة محاسبة وضرائب لشركتك بدوام جزئي، وفر مصروف محاسب ثابت,1,0,0,0,0,0,0,0,0,0
وصلتنا شحنة أحذية رياضية أصلية أديداس ونايك، الكمية محدودة,1,0,0,0,0,0,0,0,0,0
تعلم يوغا وتأمل مع مدربة متخصصة، جلسات جماعية وفردية,1,0,0,0,0,0,0,0,0,0
خدمة تنظيف وصيانة خزانات المياه، أسعار منافسة وضمان الجودة,1,0,0,0,0,0,0,0,0,0
بدك تنشر إعلانك لمليون شخص؟ عندنا الحل بأرخص الأسعار,1,0,0,0,0,0,0,0,0,0
عرض خاص عالمولدات الكهربائية، تركيب مجاني وضمان سنتين,1,0,0,0,0,0,0,0,0,0
دورة طبخ متخصصة مع شيف محترف، تعلم أشهى الأكلات الشامية,1,0,0,0,0,0,0,0,0,0
خدمة تصليح وصيانة موبايلات بكل الأنواع، ضمان شهر على الإصلاح,1,0,0,0,0,0,0,0,0,0
وصلتنا أفخر أقمشة العرسان والسهرات، زوري المحل بالحمرا,1,0,0,0,0,0,0,0,0,0
عرض تأمين صحي شامل للعائلة بقسط شهري رمزي، اسأل عن التفاصيل,1,0,0,0,0,0,0,0,0,0
بدك تعمل موقع إلكتروني احترافي؟ منعملو بأسبوع بأفضل الأسعار,1,0,0,0,0,0,0,0,0,0
خدمة غسيل وتنظيف سجاد للبيت، نجي نشيل ونرجعو نظيف,1,0,0,0,0,0,0,0,0,0
أجود أنواع العسل الجبلي الطبيعي مباشرة من المربي، اطلب هلق,1,0,0,0,0,0,0,0,0,0
عرض خاص: اشتري إطارات سيارتك الأربعة وخود تبديل مجاني,1,0,0,0,0,0,0,0,0,0
خدمة مراقبة وحراسة للمنازل والمحلات، تواصل لمعرفة التفاصيل,1,0,0,0,0,0,0,0,0,0
دورة خياطة وتصميم أزياء، تعلمي مهنة مربحة من البيت,1,0,0,0,0,0,0,0,0,0
وصلتنا أحدث أجهزة الألعاب PS5 وXbox بسعر منافس,1,0,0,0,0,0,0,0,0,0
خدمة تصوير أفراح ومناسبات بأعلى جودة وأنسب الأسعار، احجز,1,0,0,0,0,0,0,0,0,0
بدك تتعلم ترجمة وتشتغل فريلانسر؟ كورس مكثف 6 أسابيع,1,0,0,0,0,0,0,0,0,0
عرض المولد: خصومات على كل الكميات من منتجاتنا الغذائية,1,0,0,0,0,0,0,0,0,0
خدمة استشارة قانونية مجانية لأول 15 دقيقة، اتصل هلق,1,0,0,0,0,0,0,0,0,0
وصلت أجهزة تتبع السيارات GPS بأفضل الأسعار، الكمية محدودة,1,0,0,0,0,0,0,0,0,0
دروس موسيقى للأطفال والكبار: عود وبيانو وغيتار، سجل هلق,1,0,0,0,0,0,0,0,0,0
عرض تنظيف وصيانة مكيفات قبل الصيف، حجز مبكر بخصم 25%,1,0,0,0,0,0,0,0,0,0
خدمة تصميم وطباعة مناشير دعائية لمشروعك بأسعار لا تنافس,1,0,0,0,0,0,0,0,0,0
بدك تشتري أو تبيع عقار؟ أكبر شبكة وساطة عقارية بسوريا,1,0,0,0,0,0,0,0,0,0
وصلتنا أجود أنواع التمر والمكسرات من المملكة مباشرة,1,0,0,0,0,0,0,0,0,0
عرض خاص: 3 جلسات تنظيف بشرة مع خبيرة تجميل بسعر جلسة واحدة,1,0,0,0,0,0,0,0,0,0
خدمة توصيل بضاعة من تركيا لسوريا بأمان وأسرع وقت، تواصل,1,0,0,0,0,0,0,0,0,0
دورة ريادة أعمال مكثفة مع مرافقة من خبراء، سجل قبل اكتمال المجموعة,1,0,0,0,0,0,0,0,0,0
اشتري ملابس العيد من عنا وخود هدية مفاجأة مع كل طلب,1,0,0,0,0,0,0,0,0,0
خدمة فحص وصيانة شاملة للسيارة بأرخص الأسعار، احجز موعدك,1,0,0,0,0,0,0,0,0,0
عرض خاص عالكتب والقرطاسية لبداية العام الدراسي، توصيل مجاني,1,0,0,0,0,0,0,0,0,0
بدك تتعلم تجارة إلكترونية وتشتغل من البيت؟ كورس مضمون النتائج,1,0,0,0,0,0,0,0,0,0
وصلتنا ألعاب أطفال تعليمية بأمان عالي وأسعار مناسبة,1,0,0,0,0,0,0,0,0,0
خدمة طباعة كتب ومذكرات جامعية بأسعار الطلاب، تواصل,1,0,0,0,0,0,0,0,0,0
عرض حصري عالمراتب والوسائد الطبية، ضمان 10 سنوات,1,0,0,0,0,0,0,0,0,0
دورة تغذية وتخسيس مع متخصص، برامج مخصصة لكل حالة,1,0,0,0,0,0,0,0,0,0
خدمة إصلاح وصيانة أجهزة كهربائية منزلية، نجي لعندك,1,0,0,0,0,0,0,0,0,0
وصلتنا تشكيلة واسعة من الحقائب النسائية الراقية بأسعار مغرية,1,0,0,0,0,0,0,0,0,0
عرض الجملة: اشتري 10 كراتين من منتجاتنا وخود كرتون مجاني,1,0,0,0,0,0,0,0,0,0
بدك تعمل تطبيق موبايل لمشروعك؟ منعملو بأسعار تناسب الجميع,1,0,0,0,0,0,0,0,0,0
خدمة توصيل هدايا وورود لكل مناسبة، بنزين لكل سوريا,1,0,0,0,0,0,0,0,0,0
عرض الصيف: اشتري مسبح منزلي وخود صيانة مجانية للموسم,1,0,0,0,0,0,0,0,0,0
دورة كمبيوتر شاملة للمبتدئين، شهادة معتمدة وسعر رمزي جداً,1,0,0,0,0,0,0,0,0,0
وصلتنا أجود أنواع الزيتون وزيت الزيتون من ريف إدلب مباشرة,1,0,0,0,0,0,0,0,0,0
خدمة تصليح تمديدات كهربائية وسباكة، فنيين معتمدين، اتصل,1,0,0,0,0,0,0,0,0,0
عرض خاص: اشتري كاميرا DSLR وخود كورس تصوير مجاني,1,0,0,0,0,0,0,0,0,0
بدك تنقص وزنك؟ عندنا أفضل حبوب تخسيس معتمدة بدون أضرار,1,0,0,0,0,0,0,0,0,0
خدمة تنظيف خزانات مياه وتعقيمها، أسعار مناسبة وضمان النظافة,1,0,0,0,0,0,0,0,0,0
وصلتنا أحدث موديلات نظارات طبية وشمسية بأسعار الصرلة,1,0,0,0,0,0,0,0,0,0
عرض شامل للعرسان: ديكور + تصوير + حلويات بباقة واحدة مميزة,1,0,0,0,0,0,0,0,0,0
خدمة محاضرات تثقيفية وتدريبية للشركات، نجي لمقر عملكم,1,0,0,0,0,0,0,0,0,0
بدك تتعلم حياكة وكروشيه وتشتغلي من البيت؟ دورة مكثفة,1,0,0,0,0,0,0,0,0,0
وصلتنا أجهزة قياس ضغط وسكر بأسعار مناسبة، من الصيدلية,1,0,0,0,0,0,0,0,0,0
عرض خاص عالطاقة الشمسية، تركيب ألواح وبطاريات بأقل التكاليف,1,0,0,0,0,0,0,0,0,0
خدمة تنظيم حفلات وأفراح بأعلى مستوى وأنسب الميزانيات,1,0,0,0,0,0,0,0,0,0
هالطائفة كلها خونة وما بتستاهل تعيش بيناتنا، لازم نتخلص منهم,0,1,0,0,0,0,0,0,0,0
الأكراد كلهم انفصاليين وبدهم يسرقوا أرضنا، ما إلهم محل عنا,0,1,0,0,0,0,0,0,0,0
هالعرق ما بينتمي لهون، يرجعوا من وين إجوا ويتركونا بحالنا,0,1,0,0,0,0,0,0,0,0
كل واحد من هالجماعة لازم ينطرد، هنّي سبب كل مصايبنا,0,1,0,0,0,0,0,0,0,0
ا.ل.ع.ل.و.ي.ي.ن كلهم متشابهين وما فيك تأمنلهم أبداً نهائياً,0,1,0,0,0,0,0,0,0,0
السنة كلهم متطرفين وبيكرهونا، ما فينا نعيش معهم بنفس البلد,0,1,0,0,0,0,0,0,0,0
هالقومية حثالة المجتمع ولازم ينعزلوا عنا، ما إلهم بيناتنا,0,1,0,0,0,0,0,0,0,0
المسيحيين غرباء عنا وبيتآمروا علينا، احذروا منهم وما تثقوا فيهم,0,1,0,0,0,0,0,0,0,0
كل اللاجئين عبء علينا وبيخربوا بلدنا، يطلعوا من هون فوراً,0,1,0,0,0,0,0,0,0,0
هالطايفة ما بتعرف غير الغدر والخيانة، ابعدوا عنهم كلياً,0,1,0,0,0,0,0,0,0,0
الشيعة كلهم عملاء لبرا وما بيحبوا الخير لهالبلد، انتبهوا منهم,0,1,0,0,0,0,0,0,0,0
هالجماعة جايين ياخدوا شغلنا وبيوتنا، لازم نوقفهم قبل ما يكتروا,0,1,0,0,0,0,0,0,0,0
الدروز منغلقين ع حالهم وبيتآمروا بالخفا، ما فينا نثق فيهم,0,1,0,0,0,0,0,0,0,0
و.ل.ك هالعرق كلو فاسد بطبيعتو ما رح يتغير مهما عملنا,0,1,0,0,0,0,0,0,0,0
السنّة والشيعة ما بينفعوا، كلهم بيكذبوا ويخططوا ضد بعض وضدنا,0,1,0,0,0,0,0,0,0,0
هالأقلية بدها تفرض ثقافتها علينا، لازم نرفضهم ونحافظ ع هويتنا,0,1,0,0,0,0,0,0,0,0
كل واحد من هالطائفة بيشكل خطر علينا، أحسن نبعدهم عن مناطقنا,0,1,0,0,0,0,0,0,0,0
الكرد ضيوف تقلوا ع صدرنا، يرجعوا لجبالهم ويتركوا أرضنا العربية,0,1,0,0,0,0,0,0,0,0
هالجنسية كلها نصابين وحراميه، ما فينا نتعامل معهم بأمان أبداً,0,1,0,0,0,0,0,0,0,0
العلويين أخدوا حقنا وعاشوا ع حسابنا، آن الأوان ياخدوا يلي بيستاهلوه,0,1,0,0,0,0,0,0,0,0
هالطائفة ملوثة وبتنشر الفساد، لازم نطهر مجتمعنا منهم نهائياً,0,1,0,0,0,0,0,0,0,0
المهاجرين سرطان بمجتمعنا، بياخدوا وما بيعطوا، طردهم واجب وطني,0,1,0,0,0,0,0,0,0,0
ا.ل.م.س.ي.ح.ي.ي.ن خونة بيشتغلوا للغرب ضدنا، احذروا منهم كلهم,0,1,0,0,0,0,0,0,0,0
هالعرق متخلف بطبعو وما رح يتحضر مهما حاول، فرق كبير بيناتنا,0,1,0,0,0,0,0,0,0,0
السنة احتلوا مناطقنا وبدهم يغيروا هويتها، لازم نوقفهم بأي ثمن,0,1,0,0,0,0,0,0,0,0
كل واحد من هالجماعة بيحمل الحقد لنا بقلبو، ما فينا نأمنلهم,0,1,0,0,0,0,0,0,0,0
هالطائفة بتتكاثر متل الجراد لتسيطر علينا، انتبهوا قبل فوات الأوان,0,1,0,0,0,0,0,0,0,0
